Normal Distribution w/ Mean of 6000, Standard Deviation of 1000
FIFO (1 PROCESSOR)
Process	Cycles	Wait Time
Total Elapsed Time:	2986180
Average Wait Time:	67783

------------------------

Normal Distribution w/ Mean of 6000, Standard Deviation of 4000
FIFO (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	1041	0
p1:	4370	991
p2:	7599	5311
p3:	6209	12860
p4:	2383	19019
p5:	3247	21352
p6:	6302	24549
p7:	6388	30801
p8:	2430	37139
p9:	5084	39519
p10:	10659	44553
p11:	8339	55162
p12:	3357	63451
p13:	8139	66758
p14:	3568	74847
p15:	8983	78365
p16:	2139	87298
p17:	4102	89387
p18:	3813	93439
p19:	5846	97202
p20:	6779	102998
p21:	4059	109727
p22:	4518	113736
p23:	1503	118204
p24:	9528	119657
p25:	8283	129135
p26:	2280	137368
p27:	2260	139598
p28:	2941	141808
p29:	7003	144699
p30:	5247	151652
p31:	10166	156849
p32:	3212	166965
p33:	8148	170127
p34:	8779	178225
p35:	8164	186954
p36:	7416	195068
p37:	4178	202434
p38:	7511	206562
p39:	4903	214023
p40:	6022	218876
p41:	8078	224848
p42:	6172	232876
p43:	4077	238998
p44:	4968	243025
p45:	4433	247943
p46:	1449	252326
p47:	1118	253725
p48:	6444	254793
p49:	3308	261187
Total Elapsed Time:	267445
Average Wait Time:	129127

FIFO (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	1041	0
p1:	4370	0
p2:	7599	0
p3:	6209	0
p4:	2383	841
p5:	3247	3174
p6:	6302	4120
p7:	6388	6009
p8:	2430	6271
p9:	5084	7249
p10:	10659	8601
p11:	8339	10172
p12:	3357	12147
p13:	8139	12133
p14:	3568	15404
p15:	8983	18311
p16:	2139	18872
p17:	4102	18910
p18:	3813	20022
p19:	5846	20861
p20:	6779	22862
p21:	4059	23685
p22:	4518	26557
p23:	1503	26894
p24:	9528	27594
p25:	8283	28297
p26:	2280	29341
p27:	2260	30825
p28:	2941	31521
p29:	7003	32985
p30:	5247	34362
p31:	10166	36280
p32:	3212	36722
p33:	8148	39459
p34:	8779	39738
p35:	8164	39784
p36:	7416	46196
p37:	4178	47407
p38:	7511	47798
p39:	4903	48267
p40:	6022	51435
p41:	8078	53070
p42:	6172	53312
p43:	4077	55059
p44:	4968	57257
p45:	4433	59036
p46:	1449	59284
p47:	1118	60683
p48:	6444	60798
p49:	3308	61701
Total Elapsed Time:	70142
Average Wait Time:	29026

RR (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	1041	37170
p1:	4370	177874
p2:	7599	243554
p3:	6209	223780
p4:	2383	106797
p5:	3247	141508
p6:	6302	226413
p7:	6388	227316
p8:	2430	110621
p9:	5084	199740
p10:	10659	255999
p11:	8339	251474
p12:	3357	149170
p13:	8139	250041
p14:	3568	156289
p15:	8983	253888
p16:	2139	99403
p17:	4102	174890
p18:	3813	165112
p19:	5846	217254
p20:	6779	234106
p21:	4059	173780
p22:	4518	186708
p23:	1503	73388
p24:	9528	254682
p25:	8283	250912
p26:	2280	107178
p27:	2260	107208
p28:	2941	133311
p29:	7003	237490
p30:	5247	204245
p31:	10166	255023
p32:	3212	145055
p33:	8148	249658
p34:	8779	252605
p35:	8164	250007
p36:	7416	242600
p37:	4178	177040
p38:	7511	243618
p39:	4903	197234
p40:	6022	221604
p41:	8078	248979
p42:	6172	224538
p43:	4077	174291
p44:	4968	198522
p45:	4433	184273
p46:	1449	69937
p47:	1118	55863
p48:	6444	228405
p49:	3308	149176
Total Elapsed Time:	320585
Average Wait Time:	187994

RR (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	1041	4820
p1:	4370	38537
p2:	7599	54199
p3:	6209	49857
p4:	2383	22414
p5:	3247	30936
p6:	6302	50911
p7:	6388	51214
p8:	2430	24298
p9:	5084	45181
p10:	10659	56564
p11:	8339	56229
p12:	3357	33708
p13:	8139	55909
p14:	3568	35531
p15:	8983	56359
p16:	2139	22495
